,history,predict
1075_2016-05-03_9_1,70.0,68.0396
1075_2016-05-03_10_1,80.0,84.95669
1075_2016-05-03_11_1,76.0,91.70644
1075_2016-05-03_12_1,108.0,92.964935
1075_2016-05-03_13_1,86.0,107.29423
1075_2016-05-03_14_1,91.0,92.21475
1075_2016-05-03_15_1,68.0,73.29536
1075_2016-05-03_16_1,100.0,84.90228
1075_2016-05-03_17_1,132.0,110.58401
1075_2016-05-03_18_1,122.0,119.6779
1075_2016-05-03_19_1,97.0,119.74106
1075_2016-05-03_20_1,73.0,110.778656
1075_2016-05-03_21_1,103.0,70.71759
1075_2016-05-03_22_1,72.0,57.495163
1075_2016-05-03_23_1,37.0,37.72086
1075_2016-05-04_0_1,20.0,21.506626
1075_2016-05-04_1_1,11.0,10.519675
1075_2016-05-04_2_1,6.0,5.6323915
1075_2016-05-04_3_1,2.0,6.2415733
1075_2016-05-04_4_1,16.0,7.1143656
1075_2016-05-04_5_1,26.0,24.625305
1075_2016-05-04_6_1,50.0,48.377937
1075_2016-05-04_7_1,89.0,85.112015
1075_2016-05-04_8_1,80.0,72.7795
1075_2016-05-04_9_1,57.0,72.0345
1075_2016-05-04_10_1,83.0,78.7885
1075_2016-05-04_11_1,117.0,95.069275
1075_2016-05-04_12_1,118.0,111.26863
1075_2016-05-04_13_1,110.0,114.0607
1075_2016-05-04_14_1,97.0,104.61562
1075_2016-05-04_15_1,51.0,79.12849
1075_2016-05-04_16_1,93.0,82.44395
1075_2016-05-04_17_1,123.0,115.933365
1075_2016-05-04_18_1,120.0,122.17831
1075_2016-05-04_19_1,109.0,119.929085
1075_2016-05-04_20_1,143.0,115.073875
1075_2016-05-04_21_1,98.0,109.01378
1075_2016-05-04_22_1,52.0,68.3945
1075_2016-05-04_23_1,47.0,34.034283
1075_2016-05-05_0_1,12.0,23.6719
1075_2016-05-05_1_1,9.0,9.447667
1075_2016-05-05_2_1,3.0,4.6759076
1075_2016-05-05_3_1,5.0,4.171028
1075_2016-05-05_4_1,13.0,8.870399
1075_2016-05-05_5_1,24.0,24.897095
1075_2016-05-05_6_1,45.0,48.615643
1075_2016-05-05_7_1,83.0,81.52351
1075_2016-05-05_8_1,74.0,71.23383
1075_2016-05-05_9_1,59.0,65.77565
1075_2016-05-05_10_1,79.0,79.79661
1075_2016-05-05_11_1,87.0,100.15042
1075_2016-05-05_12_1,121.0,101.23221
1075_2016-05-05_13_1,131.0,113.901115
1075_2016-05-05_14_1,109.0,111.30571
1075_2016-05-05_15_1,97.0,79.20369
1075_2016-05-05_16_1,117.0,101.73913
1075_2016-05-05_17_1,139.0,124.07329
1075_2016-05-05_18_1,119.0,134.64798
1075_2016-05-05_19_1,120.0,122.60382
1075_2016-05-05_20_1,170.0,132.71637
1075_2016-05-05_21_1,118.0,123.53592
1075_2016-05-05_22_1,101.0,81.8014
1075_2016-05-05_23_1,66.0,57.16028
1075_2016-05-06_0_1,26.0,35.479233
1075_2016-05-06_1_1,17.0,15.711861
1075_2016-05-06_2_1,18.0,10.409432
1075_2016-05-06_3_1,8.0,11.850535
1075_2016-05-06_4_1,14.0,12.53797
1075_2016-05-06_5_1,34.0,25.978708
1075_2016-05-06_6_1,66.0,48.221024
1075_2016-05-06_7_1,129.0,80.494125
1075_2016-05-06_8_1,91.0,95.51976
1075_2016-05-06_9_1,91.0,79.03265
1075_2016-05-06_10_1,78.0,91.31789
1075_2016-05-06_11_1,90.0,105.18157
1075_2016-05-06_12_1,96.0,102.70767
1075_2016-05-06_13_1,96.0,108.04385
1075_2016-05-06_14_1,82.0,102.19549
1075_2016-05-06_15_1,66.0,75.66344
1075_2016-05-06_16_1,100.0,92.23149
1075_2016-05-06_17_1,121.0,122.036896
1075_2016-05-06_18_1,102.0,112.02661
1075_2016-05-06_19_1,94.0,100.905815
1075_2016-05-06_20_1,66.0,97.13676
1075_2016-05-06_21_1,70.0,76.4004
1075_2016-05-06_22_1,82.0,70.45128
1075_2016-05-06_23_1,54.0,62.40585
1075_2016-05-07_0_1,42.0,38.522297
1075_2016-05-07_1_1,15.0,24.30245
1075_2016-05-07_2_1,13.0,13.3912525
1075_2016-05-07_3_1,11.0,9.748373
1075_2016-05-07_4_1,13.0,9.860726
1075_2016-05-07_5_1,15.0,20.899065
1075_2016-05-07_6_1,23.0,24.809025
1075_2016-05-07_7_1,36.0,36.136116
1075_2016-05-07_8_1,37.0,45.313763
1075_2016-05-07_9_1,51.0,61.156242
1075_2016-05-07_10_1,84.0,73.1694
1075_2016-05-07_11_1,91.0,103.76859
1075_2016-05-07_12_1,125.0,115.201195
1075_2016-05-07_13_1,114.0,122.25099
1075_2016-05-07_14_1,130.0,121.066
1075_2016-05-07_15_1,107.0,112.650215
1075_2016-05-07_16_1,110.0,118.151695
1075_2016-05-07_17_1,95.0,119.22027
1075_2016-05-07_18_1,109.0,89.57788
1075_2016-05-07_19_1,79.0,85.54045
1075_2016-05-07_20_1,90.0,77.18786
1075_2016-05-07_21_1,76.0,81.054344
1075_2016-05-07_22_1,55.0,82.67262
1075_2016-05-07_23_1,66.0,51.685917
1075_2016-05-08_0_1,34.0,39.97542
1075_2016-05-08_1_1,17.0,18.601786
1075_2016-05-08_2_1,12.0,11.859754
1075_2016-05-08_3_1,14.0,8.218033
1075_2016-05-08_4_1,12.0,11.675072
1075_2016-05-08_5_1,8.0,15.144745
1075_2016-05-08_6_1,15.0,15.408638
1075_2016-05-08_7_1,27.0,25.933643
1075_2016-05-08_8_1,45.0,37.35806
1075_2016-05-08_9_1,48.0,59.532387
1075_2016-05-08_10_1,54.0,75.64642
1075_2016-05-08_11_1,80.0,85.59917
1075_2016-05-08_12_1,92.0,102.162285
1075_2016-05-08_13_1,108.0,102.23974
1075_2016-05-08_14_1,95.0,111.33787
1075_2016-05-08_15_1,111.0,93.440895
1075_2016-05-08_16_1,99.0,104.65323
1075_2016-05-08_17_1,90.0,94.52163
1075_2016-05-08_18_1,78.0,73.494484
1075_2016-05-08_19_1,77.0,64.591034
1075_2016-05-08_20_1,60.0,65.316956
1075_2016-05-08_21_1,45.0,44.22726
1075_2016-05-08_22_1,24.0,30.216698
1075_2016-05-08_23_1,15.0,15.032593
1075_2016-05-09_0_1,11.0,9.965892
1075_2016-05-09_1_1,4.0,3.8292718
1075_2016-05-09_2_1,3.0,3.6094935
1075_2016-05-09_3_1,7.0,5.4714565
1075_2016-05-09_4_1,6.0,9.214428
1075_2016-05-09_5_1,15.0,18.378075
1075_2016-05-09_6_1,47.0,35.30485
1075_2016-05-09_7_1,53.0,72.59097
1075_2016-05-09_8_1,66.0,51.168564
1075_2016-05-09_9_1,56.0,58.1896
1075_2016-05-09_10_1,65.0,67.46964
1075_2016-05-09_11_1,71.0,80.52399
1075_2016-05-09_12_1,101.0,90.963844
1075_2016-05-09_13_1,97.0,103.1009
1075_2016-05-09_14_1,123.0,100.18912
1075_2016-05-09_15_1,63.0,95.1972
1075_2016-05-09_16_1,99.0,89.85752
1075_2016-05-09_17_1,124.0,112.12695
1075_2016-05-09_18_1,93.0,109.42149
1075_2016-05-09_19_1,80.0,93.62504
1075_2016-05-09_20_1,96.0,81.85399
1075_2016-05-09_21_1,58.0,65.20259
1075_2016-05-09_22_1,46.0,37.873062
1075_2016-05-09_23_1,25.0,25.849941
1075_2016-05-10_0_1,16.0,14.821795
1075_2016-05-10_1_1,13.0,7.659349
1075_2016-05-10_2_1,1.0,6.1460648
1075_2016-05-10_3_1,2.0,4.162125
1075_2016-05-10_4_1,10.0,8.503596
1075_2016-05-10_5_1,25.0,21.655571
1075_2016-05-10_6_1,37.0,45.662033
1075_2016-05-10_7_1,71.0,77.778656
1075_2016-05-10_8_1,59.0,67.67922
1075_2016-05-10_9_1,52.0,56.002773
1075_2016-05-10_10_1,66.0,69.93758
1075_2016-05-10_11_1,98.0,80.7462
1075_2016-05-10_12_1,95.0,102.908035
1075_2016-05-10_13_1,85.0,98.80054
1075_2016-05-10_14_1,104.0,87.881714
1075_2016-05-10_15_1,86.0,72.79439
1075_2016-05-10_16_1,104.0,96.71952
1075_2016-05-10_17_1,118.0,117.580246
1075_2016-05-10_18_1,112.0,113.66017
1075_2016-05-10_19_1,84.0,106.79801
1075_2016-05-10_20_1,102.0,106.45942
1075_2016-05-10_21_1,68.0,79.014755
1075_2016-05-10_22_1,52.0,46.64359
1075_2016-05-10_23_1,33.0,30.05507
1075_2016-05-11_0_1,17.0,16.24049
1075_2016-05-11_1_1,8.0,9.196435
1075_2016-05-11_2_1,4.0,3.885928
1075_2016-05-11_3_1,5.0,4.77804
1075_2016-05-11_4_1,10.0,9.061911
1075_2016-05-11_5_1,18.0,22.2012
1075_2016-05-11_6_1,48.0,43.487774
1075_2016-05-11_7_1,74.0,81.61265
1075_2016-05-11_8_1,73.0,65.658875
1075_2016-05-11_9_1,65.0,62.292793
1075_2016-05-11_10_1,74.0,77.99341
1075_2016-05-11_11_1,95.0,88.82803
1075_2016-05-11_12_1,110.0,100.5217
1075_2016-05-11_13_1,93.0,108.63144
1075_2016-05-11_14_1,97.0,94.712494
1075_2016-05-11_15_1,75.0,76.609795
1075_2016-05-11_16_1,84.0,93.009224
1075_2016-05-11_17_1,114.0,111.49292
1075_2016-05-11_18_1,116.0,115.714455
1075_2016-05-11_19_1,102.0,113.86448
1075_2016-05-11_20_1,111.0,119.13715
1075_2016-05-11_21_1,102.0,91.199936
1075_2016-05-11_22_1,71.0,66.02259
1075_2016-05-11_23_1,33.0,37.36554
1075_2016-05-12_0_1,14.0,19.397299
1075_2016-05-12_1_1,11.0,8.003574
1075_2016-05-12_2_1,6.0,5.5938506
1075_2016-05-12_3_1,5.0,6.265954
1075_2016-05-12_4_1,11.0,9.912393
1075_2016-05-12_5_1,23.0,22.75247
1075_2016-05-12_6_1,58.0,48.072906
1075_2016-05-12_7_1,77.0,86.513145
1075_2016-05-12_8_1,63.0,69.036705
1075_2016-05-12_9_1,71.0,64.013794
1075_2016-05-12_10_1,74.0,78.35371
1075_2016-05-12_11_1,99.0,96.01538
1075_2016-05-12_12_1,108.0,106.55037
1075_2016-05-12_13_1,119.0,107.4824
1075_2016-05-12_14_1,102.0,106.80817
1075_2016-05-12_15_1,71.0,77.73283
1075_2016-05-12_16_1,74.0,91.634224
1075_2016-05-12_17_1,115.0,102.55847
1075_2016-05-12_18_1,107.0,117.605255
1075_2016-05-12_19_1,145.0,111.95625
1075_2016-05-12_20_1,158.0,140.18958
1075_2016-05-12_21_1,116.0,125.00608
1075_2016-05-12_22_1,82.0,82.47002
1075_2016-05-12_23_1,52.0,50.922756
1075_2016-05-13_0_1,18.0,27.547884
1075_2016-05-13_1_1,12.0,14.203421
1075_2016-05-13_2_1,9.0,8.128886
1075_2016-05-13_3_1,4.0,7.341388
1075_2016-05-13_4_1,9.0,9.264804
1075_2016-05-13_5_1,32.0,23.26098
1075_2016-05-13_6_1,43.0,47.319965
1075_2016-05-13_7_1,54.0,70.288345
1075_2016-05-13_8_1,60.0,61.215427
1075_2016-05-13_9_1,60.0,62.39862
1075_2016-05-13_10_1,73.0,72.107666
1075_2016-05-13_11_1,101.0,93.706024
1075_2016-05-13_12_1,90.0,105.97305
1075_2016-05-13_13_1,120.0,101.5043
1075_2016-05-13_14_1,84.0,109.36556
1075_2016-05-13_15_1,59.0,75.025055
1075_2016-05-13_16_1,75.0,86.45894
1075_2016-05-13_17_1,75.0,108.69174
1075_2016-05-13_18_1,106.0,90.301155
1075_2016-05-13_19_1,74.0,92.25605
1075_2016-05-13_20_1,81.0,86.92973
1075_2016-05-13_21_1,86.0,78.380844
1075_2016-05-13_22_1,95.0,75.50394
1075_2016-05-13_23_1,65.0,65.01982
1075_2016-05-14_0_1,54.0,40.66936
1075_2016-05-14_1_1,29.0,28.688251
1075_2016-05-14_2_1,8.0,16.3816
1075_2016-05-14_3_1,12.0,9.953159
1075_2016-05-14_4_1,11.0,8.960766
1075_2016-05-14_5_1,13.0,18.313454
1075_2016-05-14_6_1,25.0,23.070452
1075_2016-05-14_7_1,36.0,32.24156
1075_2016-05-14_8_1,51.0,44.770775
1075_2016-05-14_9_1,61.0,62.96458
1075_2016-05-14_10_1,94.0,75.67366
1075_2016-05-14_11_1,127.0,109.709595
1075_2016-05-14_12_1,149.0,132.52403
1075_2016-05-14_13_1,121.0,135.9025
1075_2016-05-14_14_1,133.0,129.5754
1075_2016-05-14_15_1,132.0,120.05139
1075_2016-05-14_16_1,138.0,131.73636
1075_2016-05-14_17_1,162.0,132.34544
1075_2016-05-14_18_1,122.0,120.67196
1075_2016-05-14_19_1,112.0,95.47269
1075_2016-05-14_20_1,80.0,94.15889
1075_2016-05-14_21_1,79.0,83.49422
1075_2016-05-14_22_1,86.0,85.13351
1075_2016-05-14_23_1,73.0,66.08365
1075_2016-05-15_0_1,52.0,43.921986
1075_2016-05-15_1_1,29.0,28.47442
1075_2016-05-15_2_1,13.0,18.668547
1075_2016-05-15_3_1,10.0,11.465632
1075_2016-05-15_4_1,16.0,11.638487
1075_2016-05-15_5_1,13.0,16.770363
1075_2016-05-15_6_1,19.0,19.286602
1075_2016-05-15_7_1,24.0,26.146397
1075_2016-05-15_8_1,49.0,39.01891
1075_2016-05-15_9_1,68.0,64.24385
1075_2016-05-15_10_1,92.0,82.298096
1075_2016-05-15_11_1,114.0,108.64654
1075_2016-05-15_12_1,108.0,124.21916
1075_2016-05-15_13_1,106.0,110.79206
1075_2016-05-15_14_1,107.0,113.89756
1075_2016-05-15_15_1,78.0,102.87013
1075_2016-05-15_16_1,73.0,92.536644
1075_2016-05-15_17_1,88.0,83.5414
1075_2016-05-15_18_1,66.0,70.44193
1075_2016-05-15_19_1,63.0,58.53168
1075_2016-05-15_20_1,51.0,57.194286
1075_2016-05-15_21_1,38.0,39.17571
1075_2016-05-15_22_1,29.0,29.55243
1075_2016-05-15_23_1,16.0,17.084623
1075_2016-05-16_0_1,13.0,11.60359
1075_2016-05-16_1_1,2.0,5.5763264
1075_2016-05-16_2_1,1.0,3.4259505
1075_2016-05-16_3_1,5.0,4.5296297
1075_2016-05-16_4_1,11.0,9.5362
1075_2016-05-16_5_1,27.0,20.97288
1075_2016-05-16_6_1,45.0,41.58157
1075_2016-05-16_7_1,77.0,67.53726
1075_2016-05-16_8_1,69.0,61.190857
1075_2016-05-16_9_1,77.0,65.56528
1075_2016-05-16_10_1,76.0,78.39273
1075_2016-05-16_11_1,80.0,93.683365
1075_2016-05-16_12_1,98.0,96.27117
1075_2016-05-16_13_1,103.0,104.95636
1075_2016-05-16_14_1,97.0,103.43481
1075_2016-05-16_15_1,94.0,82.37577
1075_2016-05-16_16_1,103.0,98.12463
1075_2016-05-16_17_1,119.0,116.55421
1075_2016-05-16_18_1,96.0,107.37751
1075_2016-05-16_19_1,95.0,94.819405
1075_2016-05-16_20_1,77.0,86.33744
1075_2016-05-16_21_1,64.0,59.957325
1075_2016-05-16_22_1,45.0,40.923073
1075_2016-05-16_23_1,24.0,25.640192
1075_2016-05-17_0_1,18.0,15.956851
1075_2016-05-17_1_1,7.0,8.896608
1075_2016-05-17_2_1,5.0,3.9594667
1075_2016-05-17_3_1,4.0,5.700081
1075_2016-05-17_4_1,10.0,9.723746
1075_2016-05-17_5_1,31.0,22.815771
1075_2016-05-17_6_1,56.0,48.418346
1075_2016-05-17_7_1,90.0,86.02797
1075_2016-05-17_8_1,61.0,75.53291
1075_2016-05-17_9_1,59.0,63.316525
1075_2016-05-17_10_1,85.0,77.35951
1075_2016-05-17_11_1,96.0,90.95321
1075_2016-05-17_12_1,96.0,103.708534
1075_2016-05-17_13_1,117.0,99.34712
1075_2016-05-17_14_1,108.0,102.111145
1075_2016-05-17_15_1,75.0,78.94589
1075_2016-05-17_16_1,76.0,93.49706
1075_2016-05-17_17_1,88.0,106.342735
1075_2016-05-17_18_1,108.0,98.22473
1075_2016-05-17_19_1,99.0,104.19318
1075_2016-05-17_20_1,136.0,106.82636
1075_2016-05-17_21_1,107.0,93.5025
1075_2016-05-17_22_1,111.0,66.336426
1075_2016-05-17_23_1,117.0,52.776207
1075_2016-05-18_0_1,33.0,60.261257
1075_2016-05-18_1_1,7.0,21.130917
1075_2016-05-18_2_1,1.0,7.637789
1075_2016-05-18_3_1,5.0,5.711939
1075_2016-05-18_4_1,13.0,10.952473
1075_2016-05-18_5_1,31.0,25.015654
1075_2016-05-18_6_1,57.0,53.00754
1075_2016-05-18_7_1,83.0,89.66982
1075_2016-05-18_8_1,55.0,72.48177
1075_2016-05-18_9_1,60.0,60.530422
1075_2016-05-18_10_1,93.0,79.866264
1075_2016-05-18_11_1,112.0,99.97625
1075_2016-05-18_12_1,92.0,111.17259
1075_2016-05-18_13_1,110.0,106.19036
1075_2016-05-18_14_1,84.0,100.71762
1075_2016-05-18_15_1,36.0,71.55576
1075_2016-05-18_16_1,59.0,68.5698
1075_2016-05-18_17_1,115.0,95.26385
1075_2016-05-18_18_1,88.0,112.6741
1075_2016-05-18_19_1,114.0,103.18264
1075_2016-05-18_20_1,104.0,124.33038
1075_2016-05-18_21_1,114.0,93.14231
1075_2016-05-18_22_1,72.0,72.49573
1075_2016-05-18_23_1,43.0,43.8368
1075_2016-05-19_0_1,22.0,20.698692
1075_2016-05-19_1_1,7.0,10.542716
1075_2016-05-19_2_1,3.0,4.221333
1075_2016-05-19_3_1,6.0,4.882577
1075_2016-05-19_4_1,12.0,10.577419
1075_2016-05-19_5_1,30.0,25.156366
1075_2016-05-19_6_1,51.0,53.246277
1075_2016-05-19_7_1,96.0,83.49211
1075_2016-05-19_8_1,80.0,73.396736
1075_2016-05-19_9_1,57.0,69.89914
1075_2016-05-19_10_1,82.0,78.92489
1075_2016-05-19_11_1,92.0,99.72166
1075_2016-05-19_12_1,109.0,101.843704
1075_2016-05-19_13_1,133.0,112.21897
1075_2016-05-19_14_1,105.0,107.931366
1075_2016-05-19_15_1,67.0,76.41684
1075_2016-05-19_16_1,96.0,84.016495
1075_2016-05-19_17_1,92.0,114.01956
1075_2016-05-19_18_1,75.0,110.746445
1075_2016-05-19_19_1,116.0,96.57931
1075_2016-05-19_20_1,121.0,124.69591
1075_2016-05-19_21_1,120.0,109.92989
1075_2016-05-19_22_1,84.0,86.66144
1075_2016-05-19_23_1,48.0,55.075123
1075_2016-05-20_0_1,24.0,25.534735
1075_2016-05-20_1_1,17.0,12.33674
1075_2016-05-20_2_1,6.0,8.315706
1075_2016-05-20_3_1,5.0,6.8832936
1075_2016-05-20_4_1,7.0,10.279996
1075_2016-05-20_5_1,33.0,23.692793
1075_2016-05-20_6_1,44.0,47.74954
1075_2016-05-20_7_1,82.0,67.579765
1075_2016-05-20_8_1,55.0,71.42809
1075_2016-05-20_9_1,73.0,62.129936
1075_2016-05-20_10_1,79.0,81.20123
1075_2016-05-20_11_1,115.0,96.83492
1075_2016-05-20_12_1,108.0,110.37592
1075_2016-05-20_13_1,112.0,113.88116
1075_2016-05-20_14_1,104.0,103.99255
1075_2016-05-20_15_1,82.0,76.92225
1075_2016-05-20_16_1,82.0,95.009346
1075_2016-05-20_17_1,137.0,111.46345
1075_2016-05-20_18_1,121.0,110.38119
1075_2016-05-20_19_1,145.0,107.16756
1075_2016-05-20_20_1,139.0,119.63268
1075_2016-05-20_21_1,123.0,114.1824
1075_2016-05-20_22_1,88.0,102.35799
1075_2016-05-20_23_1,82.0,67.591644
1075_2016-05-21_0_1,52.0,48.169247
1075_2016-05-21_1_1,31.0,27.772923
1075_2016-05-21_2_1,19.0,17.435781
1075_2016-05-21_3_1,13.0,14.712181
1075_2016-05-21_4_1,12.0,13.078837
1075_2016-05-21_5_1,20.0,22.584915
1075_2016-05-21_6_1,26.0,27.277454
1075_2016-05-21_7_1,31.0,35.447773
1075_2016-05-21_8_1,48.0,42.38315
1075_2016-05-21_9_1,56.0,63.864555
1075_2016-05-21_10_1,84.0,77.47412
1075_2016-05-21_11_1,91.0,110.27357
1075_2016-05-21_12_1,125.0,115.36902
1075_2016-05-21_13_1,122.0,122.61105
1075_2016-05-21_14_1,102.0,125.21474
1075_2016-05-21_15_1,99.0,101.411705
1075_2016-05-21_16_1,141.0,111.32488
1075_2016-05-21_17_1,99.0,135.26118
1075_2016-05-21_18_1,78.0,94.12523
1075_2016-05-21_19_1,70.0,76.20886
1075_2016-05-21_20_1,66.0,76.2991
1075_2016-05-21_21_1,73.0,75.03875
1075_2016-05-21_22_1,76.0,79.23818
1075_2016-05-21_23_1,72.0,66.47555
1075_2016-05-22_0_1,44.0,43.67449
1075_2016-05-22_1_1,21.0,22.603403
1075_2016-05-22_2_1,12.0,13.084768
1075_2016-05-22_3_1,9.0,9.6135845
1075_2016-05-22_4_1,11.0,10.76633
1075_2016-05-22_5_1,16.0,14.868418
1075_2016-05-22_6_1,16.0,18.882708
1075_2016-05-22_7_1,30.0,24.528728
1075_2016-05-22_8_1,42.0,38.545498
1075_2016-05-22_9_1,65.0,60.698635
1075_2016-05-22_10_1,85.0,81.69747
1075_2016-05-22_11_1,118.0,99.70305
1075_2016-05-22_12_1,106.0,121.39203
1075_2016-05-22_13_1,127.0,111.847916
1075_2016-05-22_14_1,114.0,115.41065
1075_2016-05-22_15_1,119.0,100.70568
1075_2016-05-22_16_1,117.0,108.886894
1075_2016-05-22_17_1,81.0,104.80139
1075_2016-05-22_18_1,84.0,68.53828
1075_2016-05-22_19_1,58.0,70.833496
1075_2016-05-22_20_1,62.0,58.50122
1075_2016-05-22_21_1,58.0,46.295074
1075_2016-05-22_22_1,27.0,38.870754
1075_2016-05-22_23_1,21.0,21.930332
1075_2016-05-23_0_1,14.0,11.872937
1075_2016-05-23_1_1,6.0,5.380518
1075_2016-05-23_2_1,0.0,3.8572524
1075_2016-05-23_3_1,4.0,5.0443506
1075_2016-05-23_4_1,6.0,9.494368
1075_2016-05-23_5_1,30.0,20.967285
1075_2016-05-23_6_1,50.0,44.515953
1075_2016-05-23_7_1,96.0,72.505745
1075_2016-05-23_8_1,67.0,68.69256
1075_2016-05-23_9_1,61.0,66.71469
1075_2016-05-23_10_1,72.0,75.33352
1075_2016-05-23_11_1,95.0,90.05025
1075_2016-05-23_12_1,87.0,100.496086
1075_2016-05-23_13_1,107.0,102.998535
1075_2016-05-23_14_1,109.0,103.600365
1075_2016-05-23_15_1,89.0,85.931656
1075_2016-05-23_16_1,107.0,100.165184
1075_2016-05-23_17_1,124.0,113.504395
1075_2016-05-23_18_1,111.0,107.03071
1075_2016-05-23_19_1,87.0,101.06739
1075_2016-05-23_20_1,107.0,88.04934
1075_2016-05-23_21_1,83.0,74.618576
1075_2016-05-23_22_1,30.0,50.70214
1075_2016-05-23_23_1,32.0,25.42855
1075_2016-05-24_0_1,14.0,16.844545
1075_2016-05-24_1_1,12.0,7.2342052
1075_2016-05-24_2_1,3.0,5.0049324
1075_2016-05-24_3_1,4.0,5.652519
1075_2016-05-24_4_1,10.0,9.921521
1075_2016-05-24_5_1,30.0,25.33628
1075_2016-05-24_6_1,61.0,50.261414
1075_2016-05-24_7_1,95.0,92.160736
1075_2016-05-24_8_1,87.0,74.14899
1075_2016-05-24_9_1,53.0,70.32309
1075_2016-05-24_10_1,60.0,76.42656
1075_2016-05-24_11_1,70.0,83.941185
1075_2016-05-24_12_1,87.0,89.397484
1075_2016-05-24_13_1,91.0,97.27688
1075_2016-05-24_14_1,83.0,85.70504
1075_2016-05-24_15_1,77.0,66.53743
1075_2016-05-24_16_1,92.0,89.790405
1075_2016-05-24_17_1,91.0,109.75223
1075_2016-05-24_18_1,101.0,100.37971
1075_2016-05-24_19_1,120.0,103.77445
1075_2016-05-24_20_1,104.0,117.15071
1075_2016-05-24_21_1,80.0,89.12431
1075_2016-05-24_22_1,62.0,53.81242
1075_2016-05-24_23_1,35.0,38.160374
1075_2016-05-25_0_1,19.0,17.532782
1075_2016-05-25_1_1,6.0,8.972689
1075_2016-05-25_2_1,9.0,3.2051167
1075_2016-05-25_3_1,7.0,6.107665
1075_2016-05-25_4_1,10.0,11.287426
1075_2016-05-25_5_1,28.0,25.110884
1075_2016-05-25_6_1,48.0,50.688034
1075_2016-05-25_7_1,88.0,83.113144
1075_2016-05-25_8_1,59.0,70.65854
1075_2016-05-25_9_1,58.0,58.8237
1075_2016-05-25_10_1,71.0,76.339195
1075_2016-05-25_11_1,85.0,88.148415
1075_2016-05-25_12_1,105.0,96.355385
1075_2016-05-25_13_1,106.0,108.24962
1075_2016-05-25_14_1,100.0,89.48645
1075_2016-05-25_15_1,62.0,75.19821
1075_2016-05-25_16_1,94.0,87.48335
1075_2016-05-25_17_1,113.0,108.48825
1075_2016-05-25_18_1,118.0,113.34929
1075_2016-05-25_19_1,138.0,118.91405
1075_2016-05-25_20_1,151.0,132.86237
1075_2016-05-25_21_1,125.0,114.41959
1075_2016-05-25_22_1,95.0,78.129654
1075_2016-05-25_23_1,70.0,52.27393
1075_2016-05-26_0_1,46.0,32.397816
1075_2016-05-26_1_1,13.0,20.982704
1075_2016-05-26_2_1,7.0,8.245723
1075_2016-05-26_3_1,5.0,7.69185
1075_2016-05-26_4_1,11.0,11.34198
1075_2016-05-26_5_1,33.0,27.243393
