,history,predict
1075_2016-05-06_15_4,102.0,111.87266
1075_2016-05-06_16_4,94.0,104.12858
1075_2016-05-06_17_4,66.0,107.31125
1075_2016-05-06_18_4,70.0,96.62919
1075_2016-05-06_19_4,82.0,83.64905
1075_2016-05-06_20_4,54.0,65.548355
1075_2016-05-06_21_4,42.0,38.505104
1075_2016-05-06_22_4,15.0,21.10787
1075_2016-05-06_23_4,13.0,15.00475
1075_2016-05-07_0_4,11.0,11.629549
1075_2016-05-07_1_4,13.0,9.979456
1075_2016-05-07_2_4,15.0,18.415085
1075_2016-05-07_3_4,23.0,26.308973
1075_2016-05-07_4_4,36.0,38.560936
1075_2016-05-07_5_4,37.0,47.438587
1075_2016-05-07_6_4,51.0,64.45398
1075_2016-05-07_7_4,84.0,77.40377
1075_2016-05-07_8_4,91.0,102.76715
1075_2016-05-07_9_4,125.0,119.703545
1075_2016-05-07_10_4,114.0,117.78293
1075_2016-05-07_11_4,130.0,123.73488
1075_2016-05-07_12_4,107.0,111.08135
1075_2016-05-07_13_4,110.0,121.88342
1075_2016-05-07_14_4,95.0,121.79463
1075_2016-05-07_15_4,109.0,107.472694
1075_2016-05-07_16_4,79.0,87.94324
1075_2016-05-07_17_4,90.0,77.8164
1075_2016-05-07_18_4,76.0,76.45592
1075_2016-05-07_19_4,55.0,81.952675
1075_2016-05-07_20_4,66.0,61.227646
1075_2016-05-07_21_4,34.0,42.74486
1075_2016-05-07_22_4,17.0,21.263178
1075_2016-05-07_23_4,12.0,11.603721
1075_2016-05-08_0_4,14.0,9.820104
1075_2016-05-08_1_4,12.0,8.724994
1075_2016-05-08_2_4,8.0,13.024982
1075_2016-05-08_3_4,15.0,17.686462
1075_2016-05-08_4_4,27.0,28.787092
1075_2016-05-08_5_4,45.0,37.819374
1075_2016-05-08_6_4,48.0,55.44118
1075_2016-05-08_7_4,54.0,78.12144
1075_2016-05-08_8_4,80.0,99.762314
1075_2016-05-08_9_4,92.0,113.29632
1075_2016-05-08_10_4,108.0,109.79885
1075_2016-05-08_11_4,95.0,112.346565
1075_2016-05-08_12_4,111.0,101.76073
1075_2016-05-08_13_4,99.0,99.641106
1075_2016-05-08_14_4,90.0,93.7623
1075_2016-05-08_15_4,78.0,75.29111
1075_2016-05-08_16_4,77.0,67.7621
1075_2016-05-08_17_4,60.0,56.9775
1075_2016-05-08_18_4,45.0,40.971344
1075_2016-05-08_19_4,24.0,28.391642
1075_2016-05-08_20_4,15.0,18.849287
1075_2016-05-08_21_4,11.0,11.765952
1075_2016-05-08_22_4,4.0,6.12926
1075_2016-05-08_23_4,3.0,3.6077864
1075_2016-05-09_0_4,7.0,5.2537713
1075_2016-05-09_1_4,6.0,7.673316
1075_2016-05-09_2_4,15.0,19.53457
1075_2016-05-09_3_4,47.0,37.464375
1075_2016-05-09_4_4,53.0,68.20953
1075_2016-05-09_5_4,66.0,56.24454
1075_2016-05-09_6_4,56.0,55.247448
1075_2016-05-09_7_4,65.0,66.98987
1075_2016-05-09_8_4,71.0,80.64194
1075_2016-05-09_9_4,101.0,95.33647
1075_2016-05-09_10_4,97.0,106.446396
1075_2016-05-09_11_4,123.0,102.45526
1075_2016-05-09_12_4,63.0,88.055984
1075_2016-05-09_13_4,99.0,96.34703
1075_2016-05-09_14_4,124.0,107.5035
1075_2016-05-09_15_4,93.0,104.94385
1075_2016-05-09_16_4,80.0,92.68075
1075_2016-05-09_17_4,96.0,88.55922
1075_2016-05-09_18_4,58.0,66.59104
1075_2016-05-09_19_4,46.0,40.830437
1075_2016-05-09_20_4,25.0,20.92702
1075_2016-05-09_21_4,16.0,15.680433
1075_2016-05-09_22_4,13.0,6.1211247
1075_2016-05-09_23_4,1.0,3.6979225
1075_2016-05-10_0_4,2.0,4.0253325
1075_2016-05-10_1_4,10.0,8.75499
1075_2016-05-10_2_4,25.0,22.460697
1075_2016-05-10_3_4,37.0,45.39644
1075_2016-05-10_4_4,71.0,77.77422
1075_2016-05-10_5_4,59.0,69.02322
1075_2016-05-10_6_4,52.0,61.243443
1075_2016-05-10_7_4,66.0,73.0305
1075_2016-05-10_8_4,98.0,82.03477
1075_2016-05-10_9_4,95.0,95.94974
1075_2016-05-10_10_4,85.0,97.49569
1075_2016-05-10_11_4,104.0,96.438324
1075_2016-05-10_12_4,86.0,74.694695
1075_2016-05-10_13_4,104.0,92.46774
1075_2016-05-10_14_4,118.0,114.58719
1075_2016-05-10_15_4,112.0,109.33543
1075_2016-05-10_16_4,84.0,106.63167
1075_2016-05-10_17_4,102.0,114.653465
1075_2016-05-10_18_4,68.0,85.557915
1075_2016-05-10_19_4,52.0,57.385117
1075_2016-05-10_20_4,33.0,29.417114
1075_2016-05-10_21_4,17.0,16.866173
1075_2016-05-10_22_4,8.0,9.815838
1075_2016-05-10_23_4,4.0,4.506807
1075_2016-05-11_0_4,5.0,3.263296
1075_2016-05-11_1_4,10.0,9.654682
1075_2016-05-11_2_4,18.0,21.233467
1075_2016-05-11_3_4,48.0,44.31129
1075_2016-05-11_4_4,74.0,80.73611
1075_2016-05-11_5_4,73.0,68.66564
1075_2016-05-11_6_4,65.0,59.416626
1075_2016-05-11_7_4,74.0,76.64506
1075_2016-05-11_8_4,95.0,90.35852
1075_2016-05-11_9_4,110.0,102.54083
1075_2016-05-11_10_4,93.0,102.88163
1075_2016-05-11_11_4,97.0,100.584015
1075_2016-05-11_12_4,75.0,75.46566
1075_2016-05-11_13_4,84.0,96.57742
1075_2016-05-11_14_4,114.0,116.14702
1075_2016-05-11_15_4,116.0,115.40429
1075_2016-05-11_16_4,102.0,112.673744
1075_2016-05-11_17_4,111.0,122.50144
1075_2016-05-11_18_4,102.0,94.291595
1075_2016-05-11_19_4,71.0,63.322735
1075_2016-05-11_20_4,33.0,37.366962
1075_2016-05-11_21_4,14.0,19.081495
1075_2016-05-11_22_4,11.0,10.025558
1075_2016-05-11_23_4,6.0,5.775841
1075_2016-05-12_0_4,5.0,4.185551
1075_2016-05-12_1_4,11.0,8.63971
1075_2016-05-12_2_4,23.0,22.126883
1075_2016-05-12_3_4,58.0,46.813354
1075_2016-05-12_4_4,77.0,81.11161
1075_2016-05-12_5_4,63.0,70.355385
1075_2016-05-12_6_4,71.0,66.001656
1075_2016-05-12_7_4,74.0,80.122894
1075_2016-05-12_8_4,99.0,95.47327
1075_2016-05-12_9_4,108.0,104.960335
1075_2016-05-12_10_4,119.0,108.10552
1075_2016-05-12_11_4,102.0,102.69071
1075_2016-05-12_12_4,71.0,79.80874
1075_2016-05-12_13_4,74.0,94.10993
1075_2016-05-12_14_4,115.0,118.05753
1075_2016-05-12_15_4,107.0,118.192604
1075_2016-05-12_16_4,145.0,113.24842
1075_2016-05-12_17_4,158.0,121.65042
1075_2016-05-12_18_4,116.0,108.22573
1075_2016-05-12_19_4,82.0,80.26065
1075_2016-05-12_20_4,52.0,56.893307
1075_2016-05-12_21_4,18.0,30.635529
1075_2016-05-12_22_4,12.0,17.071754
1075_2016-05-12_23_4,9.0,9.886543
1075_2016-05-13_0_4,4.0,7.6481366
1075_2016-05-13_1_4,9.0,9.605425
1075_2016-05-13_2_4,32.0,23.788986
1075_2016-05-13_3_4,43.0,46.09745
1075_2016-05-13_4_4,54.0,70.742966
1075_2016-05-13_5_4,60.0,64.84626
1075_2016-05-13_6_4,60.0,66.78577
1075_2016-05-13_7_4,73.0,73.98191
1075_2016-05-13_8_4,101.0,92.250435
1075_2016-05-13_9_4,90.0,100.465706
1075_2016-05-13_10_4,120.0,105.12765
1075_2016-05-13_11_4,84.0,101.16117
1075_2016-05-13_12_4,59.0,79.26212
1075_2016-05-13_13_4,75.0,95.447235
1075_2016-05-13_14_4,75.0,122.199684
1075_2016-05-13_15_4,106.0,107.92143
1075_2016-05-13_16_4,74.0,96.598625
1075_2016-05-13_17_4,81.0,95.09347
1075_2016-05-13_18_4,86.0,82.049
1075_2016-05-13_19_4,95.0,77.944824
1075_2016-05-13_20_4,65.0,57.358974
1075_2016-05-13_21_4,54.0,33.758022
1075_2016-05-13_22_4,29.0,18.68088
1075_2016-05-13_23_4,8.0,13.199656
1075_2016-05-14_0_4,12.0,9.898382
1075_2016-05-14_1_4,11.0,10.590709
1075_2016-05-14_2_4,13.0,18.106245
1075_2016-05-14_3_4,25.0,23.156464
1075_2016-05-14_4_4,36.0,33.045593
1075_2016-05-14_5_4,51.0,42.320686
1075_2016-05-14_6_4,61.0,57.71929
1075_2016-05-14_7_4,94.0,76.33163
1075_2016-05-14_8_4,127.0,99.21812
1075_2016-05-14_9_4,149.0,117.07201
1075_2016-05-14_10_4,121.0,120.49588
1075_2016-05-14_11_4,133.0,125.4435
1075_2016-05-14_12_4,132.0,114.39633
1075_2016-05-14_13_4,138.0,123.877075
1075_2016-05-14_14_4,162.0,115.478
1075_2016-05-14_15_4,122.0,107.063484
1075_2016-05-14_16_4,112.0,84.52161
1075_2016-05-14_17_4,80.0,85.90074
1075_2016-05-14_18_4,79.0,87.14865
1075_2016-05-14_19_4,86.0,87.82116
1075_2016-05-14_20_4,73.0,71.6532
1075_2016-05-14_21_4,52.0,43.965157
1075_2016-05-14_22_4,29.0,23.79557
1075_2016-05-14_23_4,13.0,16.309422
1075_2016-05-15_0_4,10.0,13.013007
1075_2016-05-15_1_4,16.0,13.866195
1075_2016-05-15_2_4,13.0,16.13876
1075_2016-05-15_3_4,19.0,20.69922
1075_2016-05-15_4_4,24.0,27.831322
1075_2016-05-15_5_4,49.0,42.390026
1075_2016-05-15_6_4,68.0,58.77657
1075_2016-05-15_7_4,92.0,77.39508
1075_2016-05-15_8_4,114.0,100.50412
1075_2016-05-15_9_4,108.0,117.50775
1075_2016-05-15_10_4,106.0,116.69847
1075_2016-05-15_11_4,107.0,118.85212
1075_2016-05-15_12_4,78.0,114.75681
1075_2016-05-15_13_4,73.0,108.775795
1075_2016-05-15_14_4,88.0,101.97586
1075_2016-05-15_15_4,66.0,83.63588
1075_2016-05-15_16_4,63.0,67.991516
1075_2016-05-15_17_4,51.0,54.22993
1075_2016-05-15_18_4,38.0,41.339798
1075_2016-05-15_19_4,29.0,29.711094
1075_2016-05-15_20_4,16.0,18.946087
1075_2016-05-15_21_4,13.0,12.846641
1075_2016-05-15_22_4,2.0,5.2383175
1075_2016-05-15_23_4,1.0,3.8656693
1075_2016-05-16_0_4,5.0,5.2842937
1075_2016-05-16_1_4,11.0,8.980295
1075_2016-05-16_2_4,27.0,20.201986
1075_2016-05-16_3_4,45.0,40.292587
1075_2016-05-16_4_4,77.0,64.54512
1075_2016-05-16_5_4,69.0,57.675625
1075_2016-05-16_6_4,77.0,59.8119
1075_2016-05-16_7_4,76.0,71.75944
1075_2016-05-16_8_4,80.0,89.208206
1075_2016-05-16_9_4,98.0,104.163864
1075_2016-05-16_10_4,103.0,107.60907
1075_2016-05-16_11_4,97.0,108.98668
1075_2016-05-16_12_4,94.0,83.08423
1075_2016-05-16_13_4,103.0,91.46933
1075_2016-05-16_14_4,119.0,111.15783
1075_2016-05-16_15_4,96.0,99.173546
1075_2016-05-16_16_4,95.0,91.06417
1075_2016-05-16_17_4,77.0,85.72545
1075_2016-05-16_18_4,64.0,65.816154
1075_2016-05-16_19_4,45.0,43.51066
1075_2016-05-16_20_4,24.0,24.868341
1075_2016-05-16_21_4,18.0,15.528542
1075_2016-05-16_22_4,7.0,8.035433
1075_2016-05-16_23_4,5.0,3.2396977
1075_2016-05-17_0_4,4.0,4.0750017
1075_2016-05-17_1_4,10.0,10.750217
1075_2016-05-17_2_4,31.0,24.227465
1075_2016-05-17_3_4,56.0,45.93962
1075_2016-05-17_4_4,90.0,79.9293
1075_2016-05-17_5_4,61.0,71.32179
1075_2016-05-17_6_4,59.0,65.81383
1075_2016-05-17_7_4,85.0,78.78598
1075_2016-05-17_8_4,96.0,93.39727
1075_2016-05-17_9_4,96.0,101.47489
1075_2016-05-17_10_4,117.0,100.97737
1075_2016-05-17_11_4,108.0,98.21946
1075_2016-05-17_12_4,75.0,77.28424
1075_2016-05-17_13_4,76.0,91.30561
1075_2016-05-17_14_4,88.0,114.858406
1075_2016-05-17_15_4,108.0,112.9453
1075_2016-05-17_16_4,99.0,105.28418
1075_2016-05-17_17_4,136.0,108.54101
1075_2016-05-17_18_4,107.0,80.114075
1075_2016-05-17_19_4,111.0,55.216022
1075_2016-05-17_20_4,117.0,30.672644
1075_2016-05-17_21_4,33.0,21.339928
1075_2016-05-17_22_4,7.0,11.662607
1075_2016-05-17_23_4,1.0,10.281361
1075_2016-05-18_0_4,5.0,10.975018
1075_2016-05-18_1_4,13.0,15.417208
1075_2016-05-18_2_4,31.0,26.004295
1075_2016-05-18_3_4,57.0,50.572765
1075_2016-05-18_4_4,83.0,83.83397
1075_2016-05-18_5_4,55.0,72.855316
1075_2016-05-18_6_4,60.0,67.33564
1075_2016-05-18_7_4,93.0,83.470215
1075_2016-05-18_8_4,112.0,97.47898
1075_2016-05-18_9_4,92.0,102.930534
1075_2016-05-18_10_4,110.0,105.76618
1075_2016-05-18_11_4,84.0,102.833855
1075_2016-05-18_12_4,36.0,80.79318
1075_2016-05-18_13_4,59.0,87.66872
1075_2016-05-18_14_4,115.0,113.621346
1075_2016-05-18_15_4,88.0,113.9094
1075_2016-05-18_16_4,114.0,109.110466
1075_2016-05-18_17_4,104.0,123.19788
1075_2016-05-18_18_4,114.0,104.69147
1075_2016-05-18_19_4,72.0,69.05636
1075_2016-05-18_20_4,43.0,43.87481
1075_2016-05-18_21_4,22.0,20.861904
1075_2016-05-18_22_4,7.0,11.422332
1075_2016-05-18_23_4,3.0,5.1997356
1075_2016-05-19_0_4,6.0,4.758199
1075_2016-05-19_1_4,12.0,10.811561
1075_2016-05-19_2_4,30.0,24.178938
1075_2016-05-19_3_4,51.0,49.377853
1075_2016-05-19_4_4,96.0,80.98307
1075_2016-05-19_5_4,80.0,68.30505
1075_2016-05-19_6_4,57.0,68.2453
1075_2016-05-19_7_4,82.0,82.13789
1075_2016-05-19_8_4,92.0,106.11115
1075_2016-05-19_9_4,109.0,105.79562
1075_2016-05-19_10_4,133.0,107.85221
1075_2016-05-19_11_4,105.0,99.262726
1075_2016-05-19_12_4,67.0,68.96328
1075_2016-05-19_13_4,96.0,83.50987
1075_2016-05-19_14_4,92.0,116.58418
1075_2016-05-19_15_4,75.0,115.25547
1075_2016-05-19_16_4,116.0,117.9359
1075_2016-05-19_17_4,121.0,129.87955
1075_2016-05-19_18_4,120.0,110.315025
1075_2016-05-19_19_4,84.0,77.736336
1075_2016-05-19_20_4,48.0,55.662987
1075_2016-05-19_21_4,24.0,27.016447
1075_2016-05-19_22_4,17.0,13.846405
1075_2016-05-19_23_4,6.0,8.942247
1075_2016-05-20_0_4,5.0,5.3991327
1075_2016-05-20_1_4,7.0,9.596146
1075_2016-05-20_2_4,33.0,26.30533
1075_2016-05-20_3_4,44.0,45.113865
1075_2016-05-20_4_4,82.0,70.662575
1075_2016-05-20_5_4,55.0,67.16785
1075_2016-05-20_6_4,73.0,63.53457
1075_2016-05-20_7_4,79.0,75.13353
1075_2016-05-20_8_4,115.0,101.34577
1075_2016-05-20_9_4,108.0,98.99794
1075_2016-05-20_10_4,112.0,113.38069
1075_2016-05-20_11_4,104.0,104.392746
1075_2016-05-20_12_4,82.0,79.16861
1075_2016-05-20_13_4,82.0,93.66078
1075_2016-05-20_14_4,137.0,113.346
1075_2016-05-20_15_4,121.0,104.887695
1075_2016-05-20_16_4,145.0,100.257965
1075_2016-05-20_17_4,139.0,96.64792
1075_2016-05-20_18_4,123.0,94.965385
1075_2016-05-20_19_4,88.0,89.97836
1075_2016-05-20_20_4,82.0,68.8404
1075_2016-05-20_21_4,52.0,49.36031
1075_2016-05-20_22_4,31.0,27.810825
1075_2016-05-20_23_4,19.0,14.599398
1075_2016-05-21_0_4,13.0,14.551417
1075_2016-05-21_1_4,12.0,14.588197
1075_2016-05-21_2_4,20.0,21.454506
1075_2016-05-21_3_4,26.0,29.90177
1075_2016-05-21_4_4,31.0,37.433277
1075_2016-05-21_5_4,48.0,45.930725
1075_2016-05-21_6_4,56.0,62.733097
1075_2016-05-21_7_4,84.0,81.385506
1075_2016-05-21_8_4,91.0,110.12251
1075_2016-05-21_9_4,125.0,121.5631
1075_2016-05-21_10_4,122.0,119.118164
1075_2016-05-21_11_4,102.0,124.53777
1075_2016-05-21_12_4,99.0,109.68085
1075_2016-05-21_13_4,141.0,117.48007
1075_2016-05-21_14_4,99.0,130.17123
1075_2016-05-21_15_4,78.0,104.95084
1075_2016-05-21_16_4,70.0,91.4406
1075_2016-05-21_17_4,66.0,90.397934
1075_2016-05-21_18_4,73.0,85.14611
1075_2016-05-21_19_4,76.0,81.93191
1075_2016-05-21_20_4,72.0,67.84578
1075_2016-05-21_21_4,44.0,42.143215
1075_2016-05-21_22_4,21.0,22.355291
1075_2016-05-21_23_4,12.0,13.036269
1075_2016-05-22_0_4,9.0,10.823104
1075_2016-05-22_1_4,11.0,11.7333765
1075_2016-05-22_2_4,16.0,14.209324
1075_2016-05-22_3_4,16.0,18.924072
1075_2016-05-22_4_4,30.0,24.810776
1075_2016-05-22_5_4,42.0,38.43894
1075_2016-05-22_6_4,65.0,58.759724
1075_2016-05-22_7_4,85.0,78.02115
1075_2016-05-22_8_4,118.0,102.4902
1075_2016-05-22_9_4,106.0,112.92443
1075_2016-05-22_10_4,127.0,113.72945
1075_2016-05-22_11_4,114.0,111.52081
1075_2016-05-22_12_4,119.0,100.58255
1075_2016-05-22_13_4,117.0,98.47544
1075_2016-05-22_14_4,81.0,96.24408
1075_2016-05-22_15_4,84.0,71.922516
1075_2016-05-22_16_4,58.0,68.931335
1075_2016-05-22_17_4,62.0,62.471474
1075_2016-05-22_18_4,58.0,42.739536
1075_2016-05-22_19_4,27.0,34.687958
1075_2016-05-22_20_4,21.0,22.273243
1075_2016-05-22_21_4,14.0,15.314704
1075_2016-05-22_22_4,6.0,7.1935987
1075_2016-05-22_23_4,0.0,3.1273267
1075_2016-05-23_0_4,4.0,5.3111486
1075_2016-05-23_1_4,6.0,9.817449
1075_2016-05-23_2_4,30.0,23.378294
1075_2016-05-23_3_4,50.0,38.70744
1075_2016-05-23_4_4,96.0,64.13307
1075_2016-05-23_5_4,67.0,57.672573
1075_2016-05-23_6_4,61.0,62.02284
1075_2016-05-23_7_4,72.0,75.42511
1075_2016-05-23_8_4,95.0,94.95128
1075_2016-05-23_9_4,87.0,105.75028
1075_2016-05-23_10_4,107.0,111.6813
1075_2016-05-23_11_4,109.0,105.68956
1075_2016-05-23_12_4,89.0,86.87155
1075_2016-05-23_13_4,107.0,97.44458
1075_2016-05-23_14_4,124.0,107.15797
1075_2016-05-23_15_4,111.0,98.72969
1075_2016-05-23_16_4,87.0,91.97974
1075_2016-05-23_17_4,107.0,87.86505
1075_2016-05-23_18_4,83.0,71.42766
1075_2016-05-23_19_4,30.0,46.344414
1075_2016-05-23_20_4,32.0,29.04212
1075_2016-05-23_21_4,14.0,18.990534
1075_2016-05-23_22_4,12.0,10.227107
1075_2016-05-23_23_4,3.0,2.9556165
1075_2016-05-24_0_4,4.0,4.4213824
1075_2016-05-24_1_4,10.0,9.518619
1075_2016-05-24_2_4,30.0,26.96486
1075_2016-05-24_3_4,61.0,48.0456
1075_2016-05-24_4_4,95.0,83.9817
1075_2016-05-24_5_4,87.0,71.003494
1075_2016-05-24_6_4,53.0,64.56235
1075_2016-05-24_7_4,60.0,82.07795
1075_2016-05-24_8_4,70.0,97.09092
1075_2016-05-24_9_4,87.0,103.94128
1075_2016-05-24_10_4,91.0,105.84218
1075_2016-05-24_11_4,83.0,94.520454
1075_2016-05-24_12_4,77.0,70.288506
1075_2016-05-24_13_4,92.0,86.541275
1075_2016-05-24_14_4,91.0,106.75268
1075_2016-05-24_15_4,101.0,106.75621
1075_2016-05-24_16_4,120.0,105.80199
1075_2016-05-24_17_4,104.0,116.32383
1075_2016-05-24_18_4,80.0,88.58012
1075_2016-05-24_19_4,62.0,57.773327
1075_2016-05-24_20_4,35.0,38.179043
1075_2016-05-24_21_4,19.0,18.662413
1075_2016-05-24_22_4,6.0,8.669822
1075_2016-05-24_23_4,9.0,4.072938
1075_2016-05-25_0_4,7.0,3.5155282
1075_2016-05-25_1_4,10.0,9.570499
1075_2016-05-25_2_4,28.0,24.35071
1075_2016-05-25_3_4,48.0,51.383396
1075_2016-05-25_4_4,88.0,85.83113
1075_2016-05-25_5_4,59.0,69.80253
1075_2016-05-25_6_4,58.0,62.91541
1075_2016-05-25_7_4,71.0,79.28017
1075_2016-05-25_8_4,85.0,94.76158
1075_2016-05-25_9_4,105.0,96.78364
1075_2016-05-25_10_4,106.0,103.27144
1075_2016-05-25_11_4,100.0,93.16638
1075_2016-05-25_12_4,62.0,69.01234
1075_2016-05-25_13_4,94.0,85.82874
1075_2016-05-25_14_4,113.0,107.99562
1075_2016-05-25_15_4,118.0,110.98062
1075_2016-05-25_16_4,138.0,114.24097
1075_2016-05-25_17_4,151.0,119.62405
1075_2016-05-25_18_4,125.0,105.43134
1075_2016-05-25_19_4,95.0,69.81974
1075_2016-05-25_20_4,70.0,46.53145
1075_2016-05-25_21_4,46.0,24.600595
1075_2016-05-25_22_4,13.0,13.443682
1075_2016-05-25_23_4,7.0,9.010099
1075_2016-05-26_0_4,5.0,8.814857
1075_2016-05-26_1_4,11.0,14.623563
1075_2016-05-26_2_4,33.0,29.02762
1075_2016-05-26_3_4,46.0,52.66226
1075_2016-05-26_4_4,79.0,86.83499
1075_2016-05-26_5_4,78.0,71.87872
