,history,predict
1075_2016-05-05_2_3,13.0,10.379736
1075_2016-05-05_3_3,24.0,22.804867
1075_2016-05-05_4_3,45.0,46.75428
1075_2016-05-05_5_3,83.0,82.65311
1075_2016-05-05_6_3,74.0,71.06787
1075_2016-05-05_7_3,59.0,63.476192
1075_2016-05-05_8_3,79.0,80.3182
1075_2016-05-05_9_3,87.0,105.90739
1075_2016-05-05_10_3,121.0,105.1551
1075_2016-05-05_11_3,131.0,108.24849
1075_2016-05-05_12_3,109.0,98.82107
1075_2016-05-05_13_3,97.0,76.72521
1075_2016-05-05_14_3,117.0,99.41958
1075_2016-05-05_15_3,139.0,115.605194
1075_2016-05-05_16_3,119.0,125.16852
1075_2016-05-05_17_3,120.0,122.29367
1075_2016-05-05_18_3,170.0,137.2259
1075_2016-05-05_19_3,118.0,113.016396
1075_2016-05-05_20_3,101.0,75.7957
1075_2016-05-05_21_3,66.0,60.026295
1075_2016-05-05_22_3,26.0,30.337013
1075_2016-05-05_23_3,17.0,20.223387
1075_2016-05-06_0_3,18.0,12.767405
1075_2016-05-06_1_3,8.0,8.462808
1075_2016-05-06_2_3,14.0,11.298694
1075_2016-05-06_3_3,34.0,28.539595
1075_2016-05-06_4_3,66.0,43.95125
1075_2016-05-06_5_3,129.0,72.358315
1075_2016-05-06_6_3,91.0,71.65828
1075_2016-05-06_7_3,91.0,70.9589
1075_2016-05-06_8_3,78.0,94.10398
1075_2016-05-06_9_3,90.0,110.30819
1075_2016-05-06_10_3,96.0,113.574005
1075_2016-05-06_11_3,96.0,116.57118
1075_2016-05-06_12_3,82.0,109.537476
1075_2016-05-06_13_3,66.0,85.905846
1075_2016-05-06_14_3,100.0,101.54009
1075_2016-05-06_15_3,121.0,123.411804
1075_2016-05-06_16_3,102.0,109.22048
1075_2016-05-06_17_3,94.0,106.659546
1075_2016-05-06_18_3,66.0,104.97135
1075_2016-05-06_19_3,70.0,92.83389
1075_2016-05-06_20_3,82.0,81.05642
1075_2016-05-06_21_3,54.0,61.226437
1075_2016-05-06_22_3,42.0,36.726295
1075_2016-05-06_23_3,15.0,23.436115
1075_2016-05-07_0_3,13.0,13.906961
1075_2016-05-07_1_3,11.0,12.351316
1075_2016-05-07_2_3,13.0,9.206716
1075_2016-05-07_3_3,15.0,18.735672
1075_2016-05-07_4_3,23.0,26.2296
1075_2016-05-07_5_3,36.0,38.363956
1075_2016-05-07_6_3,37.0,45.697266
1075_2016-05-07_7_3,51.0,62.836357
1075_2016-05-07_8_3,84.0,77.03011
1075_2016-05-07_9_3,91.0,100.970146
1075_2016-05-07_10_3,125.0,117.1416
1075_2016-05-07_11_3,114.0,122.78274
1075_2016-05-07_12_3,130.0,122.59297
1075_2016-05-07_13_3,107.0,113.81498
1075_2016-05-07_14_3,110.0,121.0707
1075_2016-05-07_15_3,95.0,125.16272
1075_2016-05-07_16_3,109.0,104.54086
1075_2016-05-07_17_3,79.0,84.47045
1075_2016-05-07_18_3,90.0,74.48871
1075_2016-05-07_19_3,76.0,80.23826
1075_2016-05-07_20_3,55.0,80.294235
1075_2016-05-07_21_3,66.0,65.10265
1075_2016-05-07_22_3,34.0,41.63479
1075_2016-05-07_23_3,17.0,17.015694
1075_2016-05-08_0_3,12.0,15.1915045
1075_2016-05-08_1_3,14.0,8.501433
1075_2016-05-08_2_3,12.0,8.381242
1075_2016-05-08_3_3,8.0,13.115245
1075_2016-05-08_4_3,15.0,18.928509
1075_2016-05-08_5_3,27.0,27.96218
1075_2016-05-08_6_3,45.0,35.9621
1075_2016-05-08_7_3,48.0,54.873825
1075_2016-05-08_8_3,54.0,78.32064
1075_2016-05-08_9_3,80.0,99.04142
1075_2016-05-08_10_3,92.0,111.10093
1075_2016-05-08_11_3,108.0,105.13129
1075_2016-05-08_12_3,95.0,115.15567
1075_2016-05-08_13_3,111.0,98.01723
1075_2016-05-08_14_3,99.0,101.78608
1075_2016-05-08_15_3,90.0,90.09248
1075_2016-05-08_16_3,78.0,76.736725
1075_2016-05-08_17_3,77.0,65.087204
1075_2016-05-08_18_3,60.0,55.49533
1075_2016-05-08_19_3,45.0,41.314957
1075_2016-05-08_20_3,24.0,31.020254
1075_2016-05-08_21_3,15.0,18.325916
1075_2016-05-08_22_3,11.0,11.749884
1075_2016-05-08_23_3,4.0,5.781992
1075_2016-05-09_0_3,3.0,3.2913883
1075_2016-05-09_1_3,7.0,4.5788345
1075_2016-05-09_2_3,6.0,8.055197
1075_2016-05-09_3_3,15.0,19.571968
1075_2016-05-09_4_3,47.0,38.261242
1075_2016-05-09_5_3,53.0,68.989746
1075_2016-05-09_6_3,66.0,53.96315
1075_2016-05-09_7_3,56.0,57.83637
1075_2016-05-09_8_3,65.0,63.238182
1075_2016-05-09_9_3,71.0,84.39988
1075_2016-05-09_10_3,101.0,93.91781
1075_2016-05-09_11_3,97.0,104.59742
1075_2016-05-09_12_3,123.0,100.01547
1075_2016-05-09_13_3,63.0,89.63768
1075_2016-05-09_14_3,99.0,94.38523
1075_2016-05-09_15_3,124.0,112.73513
1075_2016-05-09_16_3,93.0,97.61681
1075_2016-05-09_17_3,80.0,95.2379
1075_2016-05-09_18_3,96.0,92.00147
1075_2016-05-09_19_3,58.0,63.73569
1075_2016-05-09_20_3,46.0,39.430843
1075_2016-05-09_21_3,25.0,23.45026
1075_2016-05-09_22_3,16.0,15.949214
1075_2016-05-09_23_3,13.0,6.7931795
1075_2016-05-10_0_3,1.0,3.8287523
1075_2016-05-10_1_3,2.0,4.286714
1075_2016-05-10_2_3,10.0,9.720633
1075_2016-05-10_3_3,25.0,21.266464
1075_2016-05-10_4_3,37.0,45.15567
1075_2016-05-10_5_3,71.0,78.184006
1075_2016-05-10_6_3,59.0,70.73174
1075_2016-05-10_7_3,52.0,60.34753
1075_2016-05-10_8_3,66.0,73.5816
1075_2016-05-10_9_3,98.0,80.772446
1075_2016-05-10_10_3,95.0,96.94956
1075_2016-05-10_11_3,85.0,98.00075
1075_2016-05-10_12_3,104.0,99.43863
1075_2016-05-10_13_3,86.0,72.70793
1075_2016-05-10_14_3,104.0,89.73901
1075_2016-05-10_15_3,118.0,111.36569
1075_2016-05-10_16_3,112.0,112.846954
1075_2016-05-10_17_3,84.0,108.84255
1075_2016-05-10_18_3,102.0,113.62926
1075_2016-05-10_19_3,68.0,88.258026
1075_2016-05-10_20_3,52.0,52.55063
1075_2016-05-10_21_3,33.0,28.0471
1075_2016-05-10_22_3,17.0,16.069748
1075_2016-05-10_23_3,8.0,10.008466
1075_2016-05-11_0_3,4.0,4.306441
1075_2016-05-11_1_3,5.0,3.8794339
1075_2016-05-11_2_3,10.0,9.292495
1075_2016-05-11_3_3,18.0,20.936525
1075_2016-05-11_4_3,48.0,44.634502
1075_2016-05-11_5_3,74.0,79.24452
1075_2016-05-11_6_3,73.0,69.093414
1075_2016-05-11_7_3,65.0,61.45032
1075_2016-05-11_8_3,74.0,76.021385
1075_2016-05-11_9_3,95.0,93.9257
1075_2016-05-11_10_3,110.0,101.21089
1075_2016-05-11_11_3,93.0,100.332016
1075_2016-05-11_12_3,97.0,99.29539
1075_2016-05-11_13_3,75.0,76.65747
1075_2016-05-11_14_3,84.0,92.59293
1075_2016-05-11_15_3,114.0,115.025505
1075_2016-05-11_16_3,116.0,113.827446
1075_2016-05-11_17_3,102.0,110.239494
1075_2016-05-11_18_3,111.0,126.15007
1075_2016-05-11_19_3,102.0,96.57479
1075_2016-05-11_20_3,71.0,61.635857
1075_2016-05-11_21_3,33.0,34.129574
1075_2016-05-11_22_3,14.0,21.298948
1075_2016-05-11_23_3,11.0,11.537176
1075_2016-05-12_0_3,6.0,4.6035495
1075_2016-05-12_1_3,5.0,4.505545
1075_2016-05-12_2_3,11.0,9.549776
1075_2016-05-12_3_3,23.0,22.64152
1075_2016-05-12_4_3,58.0,46.405823
1075_2016-05-12_5_3,77.0,79.20756
1075_2016-05-12_6_3,63.0,70.34147
1075_2016-05-12_7_3,71.0,66.60846
1075_2016-05-12_8_3,74.0,76.72662
1075_2016-05-12_9_3,99.0,92.538445
1075_2016-05-12_10_3,108.0,107.18131
1075_2016-05-12_11_3,119.0,105.15023
1075_2016-05-12_12_3,102.0,102.85743
1075_2016-05-12_13_3,71.0,79.10512
1075_2016-05-12_14_3,74.0,97.85378
1075_2016-05-12_15_3,115.0,115.83142
1075_2016-05-12_16_3,107.0,115.84515
1075_2016-05-12_17_3,145.0,111.839035
1075_2016-05-12_18_3,158.0,128.85965
1075_2016-05-12_19_3,116.0,108.12508
1075_2016-05-12_20_3,82.0,85.34791
1075_2016-05-12_21_3,52.0,58.728645
1075_2016-05-12_22_3,18.0,29.379366
1075_2016-05-12_23_3,12.0,16.626278
1075_2016-05-13_0_3,9.0,10.196238
1075_2016-05-13_1_3,4.0,6.00491
1075_2016-05-13_2_3,9.0,9.244175
1075_2016-05-13_3_3,32.0,23.478085
1075_2016-05-13_4_3,43.0,44.85483
1075_2016-05-13_5_3,54.0,72.08684
1075_2016-05-13_6_3,60.0,67.54461
1075_2016-05-13_7_3,60.0,68.26354
1075_2016-05-13_8_3,73.0,70.25685
1075_2016-05-13_9_3,101.0,92.625854
1075_2016-05-13_10_3,90.0,101.817345
1075_2016-05-13_11_3,120.0,106.26869
1075_2016-05-13_12_3,84.0,105.002
1075_2016-05-13_13_3,59.0,76.37845
1075_2016-05-13_14_3,75.0,99.0275
1075_2016-05-13_15_3,75.0,116.45353
1075_2016-05-13_16_3,106.0,105.189896
1075_2016-05-13_17_3,74.0,95.7369
1075_2016-05-13_18_3,81.0,87.83202
1075_2016-05-13_19_3,86.0,86.26301
1075_2016-05-13_20_3,95.0,75.80642
1075_2016-05-13_21_3,65.0,56.281174
1075_2016-05-13_22_3,54.0,35.54868
1075_2016-05-13_23_3,29.0,22.751291
1075_2016-05-14_0_3,8.0,13.3855095
1075_2016-05-14_1_3,12.0,12.723936
1075_2016-05-14_2_3,11.0,10.46297
1075_2016-05-14_3_3,13.0,17.3178
1075_2016-05-14_4_3,25.0,24.379734
1075_2016-05-14_5_3,36.0,33.8024
1075_2016-05-14_6_3,51.0,42.042084
1075_2016-05-14_7_3,61.0,58.455013
1075_2016-05-14_8_3,94.0,77.3058
1075_2016-05-14_9_3,127.0,100.423904
1075_2016-05-14_10_3,149.0,119.11075
1075_2016-05-14_11_3,121.0,123.37613
1075_2016-05-14_12_3,133.0,130.25647
1075_2016-05-14_13_3,132.0,121.47687
1075_2016-05-14_14_3,138.0,121.85532
1075_2016-05-14_15_3,162.0,120.56009
1075_2016-05-14_16_3,122.0,110.05734
1075_2016-05-14_17_3,112.0,86.57501
1075_2016-05-14_18_3,80.0,91.56903
1075_2016-05-14_19_3,79.0,87.20259
1075_2016-05-14_20_3,86.0,91.76565
1075_2016-05-14_21_3,73.0,67.41796
1075_2016-05-14_22_3,52.0,43.542137
1075_2016-05-14_23_3,29.0,25.21862
1075_2016-05-15_0_3,13.0,17.597017
1075_2016-05-15_1_3,10.0,14.00802
1075_2016-05-15_2_3,16.0,13.406517
1075_2016-05-15_3_3,13.0,15.7483425
1075_2016-05-15_4_3,19.0,20.7584
1075_2016-05-15_5_3,24.0,29.508371
1075_2016-05-15_6_3,49.0,41.297684
1075_2016-05-15_7_3,68.0,60.005154
1075_2016-05-15_8_3,92.0,77.29871
1075_2016-05-15_9_3,114.0,103.44192
1075_2016-05-15_10_3,108.0,117.805916
1075_2016-05-15_11_3,106.0,116.95912
1075_2016-05-15_12_3,107.0,122.295944
1075_2016-05-15_13_3,78.0,113.91671
1075_2016-05-15_14_3,73.0,109.42367
1075_2016-05-15_15_3,88.0,97.424065
1075_2016-05-15_16_3,66.0,76.07317
1075_2016-05-15_17_3,63.0,63.81692
1075_2016-05-15_18_3,51.0,57.84663
1075_2016-05-15_19_3,38.0,41.805447
1075_2016-05-15_20_3,29.0,32.20922
1075_2016-05-15_21_3,16.0,18.033691
1075_2016-05-15_22_3,13.0,12.697873
1075_2016-05-15_23_3,2.0,5.0694447
1075_2016-05-16_0_3,1.0,3.5536458
1075_2016-05-16_1_3,5.0,5.8711596
1075_2016-05-16_2_3,11.0,8.60278
1075_2016-05-16_3_3,27.0,20.281961
1075_2016-05-16_4_3,45.0,39.29037
1075_2016-05-16_5_3,77.0,64.010574
1075_2016-05-16_6_3,69.0,59.06924
1075_2016-05-16_7_3,77.0,61.22075
1075_2016-05-16_8_3,76.0,74.33435
1075_2016-05-16_9_3,80.0,91.002075
1075_2016-05-16_10_3,98.0,106.58721
1075_2016-05-16_11_3,103.0,107.26366
1075_2016-05-16_12_3,97.0,104.64086
1075_2016-05-16_13_3,94.0,83.813484
1075_2016-05-16_14_3,103.0,92.656975
1075_2016-05-16_15_3,119.0,110.25306
1075_2016-05-16_16_3,96.0,104.172714
1075_2016-05-16_17_3,95.0,95.07911
1075_2016-05-16_18_3,77.0,87.695755
1075_2016-05-16_19_3,64.0,65.014915
1075_2016-05-16_20_3,45.0,43.911785
1075_2016-05-16_21_3,24.0,23.579058
1075_2016-05-16_22_3,18.0,16.205698
1075_2016-05-16_23_3,7.0,8.9254265
1075_2016-05-17_0_3,5.0,3.3359284
1075_2016-05-17_1_3,4.0,5.063078
1075_2016-05-17_2_3,10.0,10.060717
1075_2016-05-17_3_3,31.0,23.96275
1075_2016-05-17_4_3,56.0,45.590607
1075_2016-05-17_5_3,90.0,79.88673
1075_2016-05-17_6_3,61.0,73.193794
1075_2016-05-17_7_3,59.0,68.22063
1075_2016-05-17_8_3,85.0,81.34944
1075_2016-05-17_9_3,96.0,88.96276
1075_2016-05-17_10_3,96.0,100.252594
1075_2016-05-17_11_3,117.0,104.85688
1075_2016-05-17_12_3,108.0,101.06236
1075_2016-05-17_13_3,75.0,74.96879
1075_2016-05-17_14_3,76.0,94.99028
1075_2016-05-17_15_3,88.0,114.00469
1075_2016-05-17_16_3,108.0,110.696144
1075_2016-05-17_17_3,99.0,105.15857
1075_2016-05-17_18_3,136.0,106.87051
1075_2016-05-17_19_3,107.0,82.86191
1075_2016-05-17_20_3,111.0,54.893223
1075_2016-05-17_21_3,117.0,35.277267
1075_2016-05-17_22_3,33.0,21.93419
1075_2016-05-17_23_3,7.0,18.15099
1075_2016-05-18_0_3,1.0,13.435503
1075_2016-05-18_1_3,5.0,10.068253
1075_2016-05-18_2_3,13.0,12.595521
1075_2016-05-18_3_3,31.0,23.635656
1075_2016-05-18_4_3,57.0,50.150154
1075_2016-05-18_5_3,83.0,83.22881
1075_2016-05-18_6_3,55.0,74.01158
1075_2016-05-18_7_3,60.0,68.973885
1075_2016-05-18_8_3,93.0,85.069725
1075_2016-05-18_9_3,112.0,92.21341
1075_2016-05-18_10_3,92.0,102.65952
1075_2016-05-18_11_3,110.0,109.441246
1075_2016-05-18_12_3,84.0,104.939835
1075_2016-05-18_13_3,36.0,76.22467
1075_2016-05-18_14_3,59.0,90.38556
1075_2016-05-18_15_3,115.0,109.73114
1075_2016-05-18_16_3,88.0,106.87388
1075_2016-05-18_17_3,114.0,106.04924
1075_2016-05-18_18_3,104.0,126.13711
1075_2016-05-18_19_3,114.0,96.84563
1075_2016-05-18_20_3,72.0,71.65042
1075_2016-05-18_21_3,43.0,40.393436
1075_2016-05-18_22_3,22.0,24.716839
1075_2016-05-18_23_3,7.0,10.990241
1075_2016-05-19_0_3,3.0,5.5943265
1075_2016-05-19_1_3,6.0,5.077999
1075_2016-05-19_2_3,12.0,10.498132
1075_2016-05-19_3_3,30.0,24.30245
1075_2016-05-19_4_3,51.0,50.64824
1075_2016-05-19_5_3,96.0,82.66629
1075_2016-05-19_6_3,80.0,68.66308
1075_2016-05-19_7_3,57.0,66.44391
1075_2016-05-19_8_3,82.0,85.74437
1075_2016-05-19_9_3,92.0,105.01694
1075_2016-05-19_10_3,109.0,102.49056
1075_2016-05-19_11_3,133.0,110.34648
1075_2016-05-19_12_3,105.0,96.65868
1075_2016-05-19_13_3,67.0,71.62456
1075_2016-05-19_14_3,96.0,87.34489
1075_2016-05-19_15_3,92.0,113.817825
1075_2016-05-19_16_3,75.0,112.09883
1075_2016-05-19_17_3,116.0,119.16014
1075_2016-05-19_18_3,121.0,126.56684
1075_2016-05-19_19_3,120.0,105.309494
1075_2016-05-19_20_3,84.0,83.28471
1075_2016-05-19_21_3,48.0,53.810345
1075_2016-05-19_22_3,24.0,28.19973
1075_2016-05-19_23_3,17.0,13.131547
1075_2016-05-20_0_3,6.0,8.421585
1075_2016-05-20_1_3,5.0,5.409638
1075_2016-05-20_2_3,7.0,10.819415
1075_2016-05-20_3_3,33.0,24.698574
1075_2016-05-20_4_3,44.0,43.338226
1075_2016-05-20_5_3,82.0,67.79264
1075_2016-05-20_6_3,55.0,67.96497
1075_2016-05-20_7_3,73.0,62.038197
1075_2016-05-20_8_3,79.0,79.42367
1075_2016-05-20_9_3,115.0,94.69149
1075_2016-05-20_10_3,108.0,101.06972
1075_2016-05-20_11_3,112.0,115.28584
1075_2016-05-20_12_3,104.0,106.47922
1075_2016-05-20_13_3,82.0,77.28526
1075_2016-05-20_14_3,82.0,93.26549
1075_2016-05-20_15_3,137.0,113.72279
1075_2016-05-20_16_3,121.0,105.37162
1075_2016-05-20_17_3,145.0,97.36297
1075_2016-05-20_18_3,139.0,103.31066
1075_2016-05-20_19_3,123.0,97.89828
1075_2016-05-20_20_3,88.0,98.694885
1075_2016-05-20_21_3,82.0,72.40489
1075_2016-05-20_22_3,52.0,52.13966
1075_2016-05-20_23_3,31.0,24.31586
1075_2016-05-21_0_3,19.0,16.585663
1075_2016-05-21_1_3,13.0,14.490228
1075_2016-05-21_2_3,12.0,13.74633
1075_2016-05-21_3_3,20.0,22.150215
1075_2016-05-21_4_3,26.0,29.417221
1075_2016-05-21_5_3,31.0,37.071087
1075_2016-05-21_6_3,48.0,45.010677
1075_2016-05-21_7_3,56.0,61.515522
1075_2016-05-21_8_3,84.0,81.52734
1075_2016-05-21_9_3,91.0,109.43924
1075_2016-05-21_10_3,125.0,121.70763
1075_2016-05-21_11_3,122.0,122.21989
1075_2016-05-21_12_3,102.0,123.001526
1075_2016-05-21_13_3,99.0,115.84948
1075_2016-05-21_14_3,141.0,119.86724
1075_2016-05-21_15_3,99.0,124.61377
1075_2016-05-21_16_3,78.0,100.35291
1075_2016-05-21_17_3,70.0,100.691795
1075_2016-05-21_18_3,66.0,80.946434
1075_2016-05-21_19_3,73.0,80.03205
1075_2016-05-21_20_3,76.0,83.48782
1075_2016-05-21_21_3,72.0,67.1818
1075_2016-05-21_22_3,44.0,41.657665
1075_2016-05-21_23_3,21.0,21.467634
1075_2016-05-22_0_3,12.0,14.095248
1075_2016-05-22_1_3,9.0,11.054185
1075_2016-05-22_2_3,11.0,11.060133
1075_2016-05-22_3_3,16.0,14.11928
1075_2016-05-22_4_3,16.0,19.086573
1075_2016-05-22_5_3,30.0,25.961418
1075_2016-05-22_6_3,42.0,40.025936
1075_2016-05-22_7_3,65.0,57.08447
1075_2016-05-22_8_3,85.0,79.08653
1075_2016-05-22_9_3,118.0,100.468605
1075_2016-05-22_10_3,106.0,115.55638
1075_2016-05-22_11_3,127.0,115.863106
1075_2016-05-22_12_3,114.0,115.67666
1075_2016-05-22_13_3,119.0,99.49362
1075_2016-05-22_14_3,117.0,103.359856
1075_2016-05-22_15_3,81.0,95.66109
1075_2016-05-22_16_3,84.0,75.76416
1075_2016-05-22_17_3,58.0,68.76398
1075_2016-05-22_18_3,62.0,56.219986
1075_2016-05-22_19_3,58.0,46.10733
1075_2016-05-22_20_3,27.0,33.645542
1075_2016-05-22_21_3,21.0,22.680279
1075_2016-05-22_22_3,14.0,16.622467
1075_2016-05-22_23_3,6.0,4.917535
1075_2016-05-23_0_3,0.0,2.8945146
1075_2016-05-23_1_3,4.0,5.543976
1075_2016-05-23_2_3,6.0,10.044228
1075_2016-05-23_3_3,30.0,21.650187
1075_2016-05-23_4_3,50.0,41.135334
1075_2016-05-23_5_3,96.0,64.79087
1075_2016-05-23_6_3,67.0,58.539597
1075_2016-05-23_7_3,61.0,63.485645
1075_2016-05-23_8_3,72.0,81.043655
1075_2016-05-23_9_3,95.0,94.802956
1075_2016-05-23_10_3,87.0,101.31964
1075_2016-05-23_11_3,107.0,108.93455
1075_2016-05-23_12_3,109.0,108.050934
1075_2016-05-23_13_3,89.0,84.57734
1075_2016-05-23_14_3,107.0,97.98051
1075_2016-05-23_15_3,124.0,110.43183
1075_2016-05-23_16_3,111.0,102.31869
1075_2016-05-23_17_3,87.0,95.61121
1075_2016-05-23_18_3,107.0,89.75179
1075_2016-05-23_19_3,83.0,73.30817
1075_2016-05-23_20_3,30.0,44.888992
1075_2016-05-23_21_3,32.0,32.489975
1075_2016-05-23_22_3,14.0,20.85461
1075_2016-05-23_23_3,12.0,6.7008686
1075_2016-05-24_0_3,3.0,3.5360343
1075_2016-05-24_1_3,4.0,4.3165045
1075_2016-05-24_2_3,10.0,11.194441
1075_2016-05-24_3_3,30.0,26.03355
1075_2016-05-24_4_3,61.0,47.636726
1075_2016-05-24_5_3,95.0,83.336395
1075_2016-05-24_6_3,87.0,71.55787
1075_2016-05-24_7_3,53.0,67.13652
1075_2016-05-24_8_3,60.0,83.16958
1075_2016-05-24_9_3,70.0,99.97217
1075_2016-05-24_10_3,87.0,97.99151
1075_2016-05-24_11_3,91.0,102.93687
1075_2016-05-24_12_3,83.0,91.29565
1075_2016-05-24_13_3,77.0,69.68746
1075_2016-05-24_14_3,92.0,85.76414
1075_2016-05-24_15_3,91.0,106.02331
1075_2016-05-24_16_3,101.0,108.725334
1075_2016-05-24_17_3,120.0,107.03215
1075_2016-05-24_18_3,104.0,109.114006
1075_2016-05-24_19_3,80.0,90.84179
1075_2016-05-24_20_3,62.0,60.37079
1075_2016-05-24_21_3,35.0,35.32167
1075_2016-05-24_22_3,19.0,18.296167
1075_2016-05-24_23_3,6.0,8.58437
1075_2016-05-25_0_3,9.0,3.327757
1075_2016-05-25_1_3,7.0,4.1444407
1075_2016-05-25_2_3,10.0,9.137184
1075_2016-05-25_3_3,28.0,24.970793
1075_2016-05-25_4_3,48.0,51.529156
1075_2016-05-25_5_3,88.0,83.976425
1075_2016-05-25_6_3,59.0,71.076546
1075_2016-05-25_7_3,58.0,63.3153
1075_2016-05-25_8_3,71.0,80.719376
1075_2016-05-25_9_3,85.0,90.26946
1075_2016-05-25_10_3,105.0,95.05952
1075_2016-05-25_11_3,106.0,102.4653
1075_2016-05-25_12_3,100.0,89.901596
1075_2016-05-25_13_3,62.0,70.68739
1075_2016-05-25_14_3,94.0,87.98885
1075_2016-05-25_15_3,113.0,106.97274
1075_2016-05-25_16_3,118.0,108.46883
1075_2016-05-25_17_3,138.0,114.87662
1075_2016-05-25_18_3,151.0,122.761536
1075_2016-05-25_19_3,125.0,105.011856
1075_2016-05-25_20_3,95.0,73.84725
1075_2016-05-25_21_3,70.0,50.67172
1075_2016-05-25_22_3,46.0,26.258474
1075_2016-05-25_23_3,13.0,14.311228
1075_2016-05-26_0_3,7.0,9.637903
1075_2016-05-26_1_3,5.0,10.093651
1075_2016-05-26_2_3,11.0,13.011231
1075_2016-05-26_3_3,33.0,28.426554
1075_2016-05-26_4_3,46.0,52.708908
1075_2016-05-26_5_3,79.0,85.54189
